Date,PeriodLabel,Year,MonthNumber,ActualValue,IndexedValue,AnnualMovementValue,CommonIndexBaseDate,IndicatorSort,Indicator,IndicatorLabel,Unit
2004-02-01,2004-02,2004,2,352.0,115.40983606557378,0.032258064516129004,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2004-02-01,2004-02,2004,2,0.048,82.75862068965519,-0.0040000000000000036,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2004-03-01,2004-03,2004,3,125247.0,160.67607440667092,0.078,2000-01-01,1,UK average house price,Index: house price,GBP
2004-03-01,2004-03,2004,3,361.0,118.36065573770492,0.034383954154727725,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2004-03-01,2004-03,2004,3,0.048,82.75862068965519,-0.0029999999999999957,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2004-04-01,2004-04,2004,4,130931.0,167.96792815907634,0.1,2000-01-01,1,UK average house price,Index: house price,GBP
2004-04-01,2004-04,2004,4,362.0,118.68852459016392,0.043227665706051965,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2004-04-01,2004-04,2004,4,0.048,82.75862068965519,-0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2004-05-01,2004-05,2004,5,132516.0,170.00128287363694,0.121,2000-01-01,1,UK average house price,Index: house price,GBP
2004-05-01,2004-05,2004,5,363.0,119.01639344262296,0.0431034482758621,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2004-05-01,2004-05,2004,5,0.048,82.75862068965519,-0.0010000000000000009,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2004-06-01,2004-06,2004,6,134845.0,172.98909557408595,0.138,2000-01-01,1,UK average house price,Index: house price,GBP
2004-06-01,2004-06,2004,6,364.0,119.34426229508198,0.042979942693409656,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2004-06-01,2004-06,2004,6,0.048,82.75862068965519,-0.0029999999999999957,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2004-07-01,2004-07,2004,7,137734.0,176.69531751122514,0.14300000000000002,2000-01-01,1,UK average house price,Index: house price,GBP
2004-07-01,2004-07,2004,7,365.0,119.67213114754098,0.03988603988603989,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2004-07-01,2004-07,2004,7,0.047,81.0344827586207,-0.003999999999999997,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2004-08-01,2004-08,2004,8,139319.0,178.72867222578577,0.136,2000-01-01,1,UK average house price,Index: house price,GBP
2004-08-01,2004-08,2004,8,367.0,120.327868852459,0.042613636363636465,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2004-08-01,2004-08,2004,8,0.047,81.0344827586207,-0.0030000000000000027,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2004-09-01,2004-09,2004,9,139039.0,178.36946760744067,0.13699999999999998,2000-01-01,1,UK average house price,Index: house price,GBP
2004-09-01,2004-09,2004,9,369.0,120.98360655737706,0.03943661971830981,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2004-09-01,2004-09,2004,9,0.047,81.0344827586207,-0.0030000000000000027,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2004-10-01,2004-10,2004,10,140064.0,179.6844130853111,0.126,2000-01-01,1,UK average house price,Index: house price,GBP
2004-10-01,2004-10,2004,10,372.0,121.96721311475409,0.04494382022471921,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2004-10-01,2004-10,2004,10,0.047,81.0344827586207,-0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2004-11-01,2004-11,2004,11,139878.0,179.445798588839,0.13699999999999998,2000-01-01,1,UK average house price,Index: house price,GBP
2004-11-01,2004-11,2004,11,372.0,121.96721311475409,0.04201680672268915,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2004-11-01,2004-11,2004,11,0.047,81.0344827586207,-0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2004-12-01,2004-12,2004,12,138853.0,178.13085311096856,0.107,2000-01-01,1,UK average house price,Index: house price,GBP
2004-12-01,2004-12,2004,12,373.0,122.29508196721311,0.04481792717086841,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2004-12-01,2004-12,2004,12,0.047,81.0344827586207,-0.0010000000000000009,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2005-01-01,2005-01,2005,1,139586.0,179.07119948685056,0.1,2000-01-01,1,UK average house price,Index: house price,GBP
2005-01-01,2005-01,2005,1,379.0,124.26229508196722,0.041208791208791284,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2005-01-01,2005-01,2005,1,0.048,82.75862068965519,0.0,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2005-02-01,2005-02,2005,2,140208.0,179.86914688903144,0.109,2000-01-01,1,UK average house price,Index: house price,GBP
2005-02-01,2005-02,2005,2,371.0,121.63934426229508,0.05397727272727271,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2005-02-01,2005-02,2005,2,0.047,81.0344827586207,-0.0010000000000000009,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2005-03-01,2005-03,2005,3,141212.0,181.15715202052598,0.11599999999999999,2000-01-01,1,UK average house price,Index: house price,GBP
